scorer,,,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab
bodyparts,,,Head,Head,Tail_B,Tail_B,Tail_E,Tail_E
coords,,,x,y,x,y,x,y
labeled-data,df1s3_v5,img0045.png,59.168958543828055,334.5868710609689,88.86120898799015,380.1149884086841,103.61735769357372,415.3857828756888
labeled-data,df1s3_v5,img0090.png,50.332355701710284,307.43090732892216,69.22742416617707,346.6606685218151,83.98357287176066,376.71282503196704
labeled-data,df1s3_v5,img0231.png,65.03822425587128,192.85334611671593,70.3555975051637,244.5078291098423,58.708018006713644,280.9698171049904
labeled-data,df1s3_v5,img0344.png,54.91768598467206,86.01376532329145,55.280777060095446,134.84951496773633,65.62887270966183,160.81052686050816
labeled-data,df1s3_v5,img0416.png,94.20110542961802,49.09791348386416,56.657806731783666,78.76627635727473,50.431113289216015,115.3938848429668
labeled-data,df1s3_v5,img0706.png,299.3777259886579,46.47435944606052,253.67517372415267,52.13750179187964,230.22777734497177,78.8635595291664
labeled-data,df1s3_v5,img0871.png,243.2472551715606,128.90469486003684,292.88721969797393,128.4396834827402,304.3962512860651,93.68008302981846
labeled-data,df1s3_v5,img0962.png,189.34943039681903,126.69868640211541,237.81382417232254,132.38643921684442,276.79862992327764,147.3167903555081
labeled-data,df1s3_v5,img1028.png,152.07473458733313,86.65503512264009,187.48566946941347,124.50250222137734,221.92199146483105,142.69527610574892
labeled-data,df1s3_v5,img1390.png,44.166489569304346,264.5191956056229,48.04583105935416,215.75033115928227,52.479364190839675,179.35841337167204
labeled-data,df1s3_v5,img1597.png,53.41311977648898,287.0361453225794,47.42211703200316,330.42552883567356,56.499393917587724,369.82091051911056
labeled-data,df1s3_v5,img1726.png,45.09040705893966,175.56995612580832,53.78548281249958,226.49825696808796,57.097892623379536,267.69635399090765
labeled-data,df1s3_v5,img1932.png,117.68300471461595,87.59724053831661,73.69006191386626,80.04080565724666,56.610448826516375,114.61408305830643
labeled-data,df1s3_v5,img2032.png,188.75552397178936,91.9873779162701,138.86872121427677,110.99710672034428,124.69383673031396,85.06475991247432
labeled-data,df1s3_v5,img2233.png,146.9007011467976,50.78608625410693,189.3947774645327,43.90609294552124,220.96180558627876,56.755492213026855
labeled-data,df1s3_v5,img2315.png,73.59263645655612,38.06938834396381,118.93920826655963,43.93776822525838,141.34574963150254,76.48060211243737
labeled-data,df1s3_v5,img2584.png,33.19881960839823,147.84604151157293,60.77463128397405,170.9437299235937,88.11475226146803,156.6844426896421
labeled-data,df1s3_v5,img3082.png,138.86460259895296,188.73528816962246,180.76658670658466,160.98748598463555,212.9988821739937,136.74319417654095
labeled-data,df1s3_v5,img3210.png,62.93245606513971,269.1738798671261,88.57496701455767,230.40116752794594,110.04670811075707,201.8236703855223
labeled-data,df1s3_v5,img3378.png,101.62045989342553,350.42566817320085,67.44212366212452,322.33388496939176,66.5057308886642,286.5948941156569
