scorer,,,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab
bodyparts,,,Head,Head,Tail_B,Tail_B,Tail_E,Tail_E
coords,,,x,y,x,y,x,y
labeled-data,df1s3_v10,img0018.png,185.4413699701183,302.2508398363095,158.8592812378065,343.3167589676374,129.55082443038577,357.2893953525705
labeled-data,df1s3_v10,img0108.png,162.8821412435624,235.0647698158631,189.8273210512976,279.5912016967304,189.06291878724835,317.0469126351425
labeled-data,df1s3_v10,img0340.png,152.4200979002494,79.31167737267381,134.54741746394842,127.58845786153273,122.83773028154438,166.62074846954633
labeled-data,df1s3_v10,img0461.png,93.7707676575196,38.36712302581094,135.233220463323,65.91108460705135,163.65624464822002,85.25046188749675
labeled-data,df1s3_v10,img0707.png,109.27961212497942,102.45225193671723,91.82257541975525,152.61615051494763,81.58914010979626,184.52039001070216
labeled-data,df1s3_v10,img0717.png,114.23306221513397,90.30943532144626,101.20000361309468,141.05937563544774,90.14165085984922,174.4319044800635
labeled-data,df1s3_v10,img0873.png,274.94967621142007,46.29573844230556,229.9125181063302,29.05929521690082,195.9956459531144,43.0708555162621
labeled-data,df1s3_v10,img0962.png,334.29982272675454,120.06157986800602,329.25476778402964,72.13355791211958,299.4574120285608,52.110996108180174
labeled-data,df1s3_v10,img1011.png,318.17184387738286,165.2828852569885,339.9652709263696,117.11758009830345,352.60179585393337,79.20800531561218
labeled-data,df1s3_v10,img1040.png,313.6048313799257,182.71592291613092,330.3197608871355,136.03642465819158,355.3921551479501,100.5681596063075
labeled-data,df1s3_v10,img1146.png,307.2449460184879,291.2487502747075,303.80513583026635,245.45627714400857,311.9746850272925,209.76824644121035
labeled-data,df1s3_v10,img1230.png,259.05619640348874,340.90400284640185,292.2981398613294,308.59845216202143,316.33222104681045,281.13093080718596
labeled-data,df1s3_v10,img1367.png,153.80455619309612,372.1078736664911,203.31717364439103,346.0754665529237,238.79270882856625,337.52560735385987
labeled-data,df1s3_v10,img1701.png,201.68275944102072,268.1314262795291,218.45183410860062,320.803519786671,230.70615790413973,360.7913132247461
labeled-data,df1s3_v10,img2335.png,287.39495718255966,347.0338720021899,316.64926882961026,307.6193802621517,337.670331090964,273.4601540874519
labeled-data,df1s3_v10,img2567.png,251.2881427098988,415.64188336096686,202.4135744525639,414.74861448942283,168.9797966890606,419.59778836351876
labeled-data,df1s3_v10,img2789.png,278.8310361362111,173.8237110036822,287.40189652186297,226.1279359212504,291.3576782383177,264.58692483122707
labeled-data,df1s3_v10,img2831.png,262.1454011513925,149.43426239065406,286.5393884028634,187.43938745635148,288.8373727091614,221.90915205082123
labeled-data,df1s3_v10,img3289.png,178.06803702347014,50.11914211260199,222.88643540491657,56.586226442810705,266.8024499263339,51.923909832660236
labeled-data,df1s3_v10,img3417.png,66.9114360712918,41.86000655638949,111.75717941819363,63.18907961162331,150.04013105579278,54.5754154931635
