scorer,,,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab
bodyparts,,,Head,Head,Tail_B,Tail_B,Tail_E,Tail_E
coords,,,x,y,x,y,x,y
labeled-data,df1s3_v3,img0000.png,46.778791309065255,177.22187719356015,78.78335860197626,212.85257772655467,57.49953306235564,239.33911617586034
labeled-data,df1s3_v3,img0564.png,138.90624261603472,99.6680600153424,92.98477660327751,78.12624871160517,57.76971980135976,57.6163804643344
labeled-data,df1s3_v3,img0611.png,141.12573674423112,114.62402028773906,116.77952463426328,85.32830351805248,83.87200716694412,68.87454478439291
labeled-data,df1s3_v3,img0709.png,91.41937631678768,176.33722489834776,135.28969625434613,154.55653788709515,149.81015426184786,122.42616272155936
labeled-data,df1s3_v3,img0931.png,47.81516351927519,87.77899310164143,65.70854651689415,124.40978659676703,47.77694340607273,158.3970222620557
labeled-data,df1s3_v3,img1059.png,101.22314987290056,85.02923113224321,92.7510247796883,44.120969967875496,57.047069029722415,61.91243266362122
labeled-data,df1s3_v3,img1300.png,147.2242056882663,56.99842493403927,105.15341608065708,80.68534009126464,73.33517183960808,96.59446221178914
labeled-data,df1s3_v3,img1343.png,165.9629980817409,54.6664247269911,132.05220264285714,70.44177645130699,103.60688339192535,78.63999073323492
labeled-data,df1s3_v3,img1556.png,112.30481660732241,110.60219575614579,159.06470753610427,112.68041313075832,185.4580681936834,82.44235033014606
labeled-data,df1s3_v3,img1632.png,90.5368496172459,83.12010462768592,120.44249569345507,118.69506749559352,151.198539288419,135.84475079048124
labeled-data,df1s3_v3,img1932.png,89.59809555741685,126.38216738867443,62.676803320433194,84.44355567255701,41.982204526017185,56.423435181002574
labeled-data,df1s3_v3,img1946.png,73.67474480537417,137.78311568163844,80.5543651818172,92.5496117065255,49.424082978412486,85.4980008206714
labeled-data,df1s3_v3,img1998.png,47.707966054896765,139.59645302748203,93.25360095449642,141.2781380083903,81.76208691828973,105.82261299424043
labeled-data,df1s3_v3,img2077.png,47.558344264863585,105.02766648972352,64.42774672959993,146.64936976720384,92.64852281546726,171.24401261298766
labeled-data,df1s3_v3,img2281.png,46.14080565256873,118.78224120378948,61.44796099015447,71.30171307331521,92.91266918408071,63.64813540452235
labeled-data,df1s3_v3,img2370.png,60.280230630255616,189.46943284405305,63.157886653457595,132.80174500253713,47.44145760366219,101.14752874731536
labeled-data,df1s3_v3,img2406.png,94.75887582727846,179.13734186689024,49.358158856904765,186.77180947908187,58.45454579909055,161.51309216640527
labeled-data,df1s3_v3,img2655.png,69.34133045480101,132.94879688808356,82.59415470775446,182.14763760795182,52.82068652303714,199.75755476598587
labeled-data,df1s3_v3,img2887.png,46.939579742172356,85.36870536271691,88.57402305738682,75.68627668476006,124.03591809040381,88.87858575847626
labeled-data,df1s3_v3,img3467.png,75.44899053980907,135.892971833305,109.4601137758493,93.96391514548822,116.65823509564618,54.914106985590166
