scorer,,,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab,PortuguesLab
bodyparts,,,Head,Head,Tail_B,Tail_B,Tail_E,Tail_E
coords,,,x,y,x,y,x,y
labeled-data,df1s3_v2,img0138.png,323.05155387345735,409.8860967062318,272.12064421387424,398.2097964567641,245.87676936745152,396.8753621425392
labeled-data,df1s3_v2,img0243.png,311.0588873210818,358.32041475630126,343.4982084016708,394.7760327325822,347.2055593823095,422.58116508737277
labeled-data,df1s3_v2,img0742.png,337.4131817899498,346.33638678633935,293.842252739144,372.35791385834835,266.15655823811113,383.70450996532907
labeled-data,df1s3_v2,img1113.png,270.01827348782956,293.2621858382131,254.34802707482044,264.4697005590256,259.698842923165,292.11558244213927
labeled-data,df1s3_v2,img1158.png,249.35941248988877,348.0047902779098,268.1031930062625,303.1901150433072,287.5285655414134,278.65280236732707
labeled-data,df1s3_v2,img1301.png,312.09854966263913,357.0823373073596,267.2473373226462,342.77727437877667,237.13141536773486,333.6349409281786
labeled-data,df1s3_v2,img1410.png,274.09245912435466,305.9860118743502,308.3520130962109,338.63713608226954,331.5134016969024,360.6726238482052
labeled-data,df1s3_v2,img1572.png,269.8514868857067,352.52151585579924,238.11446038521296,325.27694516131146,239.85347553592493,302.66974820205564
labeled-data,df1s3_v2,img1601.png,289.7133988044493,369.0162656608685,245.29525724432222,345.6574064752976,226.8986427562042,324.47709374226696
labeled-data,df1s3_v2,img2154.png,320.3082542476222,349.02544247593437,359.4265401103413,381.9074798677852,381.11167683858775,401.32488987935227
labeled-data,df1s3_v2,img2218.png,325.61823708065026,321.0265341472073,344.33335251212213,367.23465100898295,351.4550336055141,396.21823685418275
labeled-data,df1s3_v2,img2376.png,255.83531500495266,320.26552391820485,278.08897591708575,365.0977167046919,269.9672018615627,391.7371356068074
labeled-data,df1s3_v2,img2432.png,239.30760751851764,277.22421416105493,251.45841850746677,326.6953731874907,262.5677314116489,353.0799913349231
labeled-data,df1s3_v2,img2628.png,315.1916934543572,333.1112880405048,317.1886943691858,379.40540015698605,317.3702399068975,408.6342317285683
labeled-data,df1s3_v2,img2764.png,291.1716900105724,337.6415180583926,307.86113944231374,317.3848580610881,312.0653518945845,353.0569637167186
labeled-data,df1s3_v2,img2853.png,347.32195634831055,363.5113590561294,302.8289670664953,372.9007668662007,298.8811478736244,346.2263128603163
labeled-data,df1s3_v2,img2889.png,321.86903706668573,339.3291908570359,348.1485499028114,378.4538467386221,320.1013568310719,385.2888769829956
labeled-data,df1s3_v2,img3040.png,304.25626016830654,317.2717902261975,335.4136149518963,354.9504518249572,348.6011465114622,384.078955599383
labeled-data,df1s3_v2,img3154.png,276.8412767384558,355.5385956669544,318.1126289782469,335.1003901319382,351.09021665310394,335.791537179016
labeled-data,df1s3_v2,img3201.png,262.66735611797276,319.5870213585781,293.07782618939774,355.51552027360844,322.5073133552929,363.7312521074208
